Results from the 0th iteration     date:17/05/22
------------------------------------------------------------------------
Parameters of the run are : 
m=0.004 mu=19 lambda=0.72 lambdaQCD=0.234 gamma=0.48 eta=1.8

Parameters for the integartions are : 
nCheby=30 nLeg=500 pMin=0.001 pMax=1000.0
 
Degree of convergence : None
 
Current value for Z2 : 1

Datas for sigma_v(p) and sigma_s(p) :
p                                                  sigma_v(p)                                         sigma_s(p)                                        
(0.35787936604453985-0.2794237653465446j)          (2.368074402565363+0.9263100350004178j)            (0.926785041887081+0.7085938640866158j)           
(0.32257858190557187-0.23250148710106955j)         (2.4030891348998313+0.6314615888799999j)           (1.022866522184225+0.516256038612275j)            
(0.2844322405028921-0.17578879212706972j)          (2.398189827707836+0.38652110083537183j)           (1.0744780553315898+0.33300547163710087j)         
(0.24567323635131255-0.10176118640880195j)         (2.3840725279525903+0.18279236152367523j)          (1.0978855833044454+0.16255135330811532j)         
(0.22360679774998105+1.9860273225978e-15j)         (2.37786729807254-3.1863081143370948e-15j)         (1.1044713730160909-2.863200739345949e-15j)       
(0.24567323635131383+0.10176118640880505j)         (2.3840725279525947-0.18279236152368344j)          (1.0978855833044452-0.16255135330812173j)         
(0.2844322405028935+0.17578879212707196j)          (2.3981898277078373-0.38652110083537855j)          (1.0744780553315887-0.3330054716371073j)          
(0.32257858190557315+0.23250148710107138j)         (2.4030891348998313-0.6314615888800114j)           (1.0228665221842217-0.5162560386122821j)          
(0.35787936604454107+0.2794237653465461j)          (2.3680744025653584-0.9263100350004343j)           (0.9267850418870736-0.7085938640866231j)          
(0.3904810979289788+0.32011792802000294j)          (2.248412428815378-1.2614593329757298j)            (0.7670553335178032-0.8907634283771086j)          
(0.4207957500468091+0.3564674785411085j)           (2.0063380357948994-1.583804141011582j)            (0.5417390784628233-1.0232913295362536j)          
(0.449195609168921+0.3895852862938192j)            (1.6314008999510783-1.818749156610355j)            (0.2707218952260199-1.0614053137633948j)          
(0.47597945723262564+0.42018620123400524j)         (1.209443603003574-1.8983887085366713j)            (0.0210918083340455-0.9982913991703644j)          
(0.5013827165483834+0.4487589870447562j)           (0.8338124946337163-1.8455006136597454j)           (-0.165507087133857-0.8755566027905106j)          
(0.5255919429824085+0.4756541711454053j)           (0.5414805145048184-1.7016332415623632j)           (-0.27926172004330346-0.7271190020034152j)        
(0.5487567998937988+0.501132742324508j)            (0.3396854021447275-1.523684310274365j)            (-0.3341037221251029-0.5865159231761686j)         
(0.5709990056644657+0.5253949604533791j)           (0.21054287443666778-1.3482566482188043j)          (-0.35123254999343945-0.4680474642932681j)        
(0.5924188723024729+0.5485983232385355j)           (0.13121031944348927-1.1891471445628685j)          (-0.3467560070058219-0.3722484221635641j)         
(0.6131000906788844+0.5708692680381869j)           (0.08545243377973631-1.0571935785765245j)          (-0.33421033268883404-0.29955972141562826j)       
(0.6331132674800963+0.592311074908551j)            (0.062096909952029454-0.9435080794651892j)         (-0.3153204782808328-0.24300201220075246j)        
(0.6525185733349176+0.6130093706845233j)           (0.050993282524789275-0.8482490361425579j)         (-0.29590937677096074-0.19875735962926813j)       
(0.6713677525381758+0.6330360646504751j)           (0.04805825152389407-0.7679305038591817j)          (-0.27700175257760257-0.1640501466958018j)        
(0.6897056686971624+0.6524522277017675j)           (0.04991568561852507-0.7000951884403421j)          (-0.2597060449543521-0.13646150586714018j)        
(0.7075715085848303+0.6713102410666857j)           (0.05500210078184769-0.6418898357075471j)          (-0.24385407742325965-0.11426982388641771j)       
(0.7432992540397475-0.6726765798331648j)           (0.10774009482768589+0.5967716688491518j)          (-0.21318419430864624+0.10810253734201632j)       
(0.7263775391375827-0.6539299116599343j)           (0.1081190343761489+0.643304302937961j)            (-0.2226887718603566+0.12724817935744054j)        
(0.7090622376821878-0.6346410457155055j)           (0.11098491166334051+0.6975867588281086j)          (-0.23362453406994224+0.150057527366597j)         
(0.6913255884281969-0.6147609854370979j)           (0.11922428904623493+0.761298932368346j)           (-0.24538849852833186+0.17864290655475143j)       
(0.6731366038293624-0.59423302450716j)             (0.13701393089861397+0.8302167389854086j)          (-0.2532347354908855+0.21354980141468935j)        
(0.654460578461789-0.5729909674336396j)            (0.15739616716110913+0.9158964435816802j)          (-0.2655428099100565+0.2543858342755004j)         
(0.6352585226451308-0.5509567955777234j)           (0.198947999380059+1.0169476624299556j)            (-0.27328456936410644+0.3101053129913164j)        
(0.6154865237754179-0.5280375563813118j)           (0.2639930446054891+1.1311015856365585j)           (-0.27307945244304227+0.37925974830517567j)       
(0.5950950567051548-0.504121142697775j)            (0.3563857896545076+1.2569990845825083j)           (-0.2622019301815119+0.46121384700285967j)        
(0.5740283069566118-0.47907045117338753j)          (0.485942006886668+1.379847178451593j)             (-0.22965981343501646+0.5516710545539165j)        
(0.5522236645414967-0.4527151153646614j)           (0.6706668420214956+1.4878255793852688j)           (-0.1637098864793719+0.6505477572307208j)         
(0.5296117553758815-0.4248395125601214j)           (0.9125420436402548+1.5614616941660708j)           (-0.057912275589800055+0.7468053255841327j)       
(0.5061178531536735-0.39516487860244154j)          (1.1958933895099324+1.5678447035797274j)           (0.09038830016023784+0.8174925780255752j)         
(0.4816666349582596-0.36332182322565254j)          (1.4950416807424605+1.486550116276388j)            (0.272388127895868+0.8435812996024699j)           
(0.4561950054619398-0.32880675633024686j)          (1.758040485338405+1.319455867039923j)             (0.459884871712793+0.8084255417253007j)           
(0.4296849080179137-0.2909108457558123j)           (1.9643531290266196+1.0908894894708283j)           (0.6321759962962419+0.7202475519261043j)          
(0.4022479320953557-0.24860289393928803j)          (2.0897387801671146+0.8413599431377085j)           (0.7641369638321449+0.5908752128713177j)          
(0.374351147836627-0.20034665429350001j)           (2.156157032028769+0.6009121931760432j)            (0.855737495202206+0.4444030029604675j)           
(0.34743442276011643-0.14391204994250595j)         (2.184090867684109+0.38300572976564284j)           (0.9119560988895482+0.29412407905675575j)         
(0.3254254130173233-0.07682251907803143j)          (2.1931915803172797+0.18573849716253035j)          (0.9415384183700003+0.1459233832090685j)          
(0.3162277660168395+1.4043333874306734e-15j)       (2.194977692269713-3.263750003430783e-15j)         (0.9507038999519165-2.5839594728272597e-15j)      
(0.325425413017324+0.076822519078034j)             (2.1931915803172792-0.185738497162537j)            (0.9415384183699992-0.1459233832090737j)          
(0.3474344227601173+0.14391204994250814j)          (2.1840908676841093-0.38300572976565j)             (0.9119560988895471-0.2941240790567612j)          
(0.37435114783662804+0.20034665429350182j)         (2.1561570320287693-0.6009121931760525j)           (0.8557374952022033-0.44440300296047336j)         
(0.4022479320953567+0.2486028939392896j)           (2.089738780167113-0.8413599431377216j)            (0.7641369638321398-0.5908752128713242j)          
(0.4296849080179147+0.29091084575581366j)          (1.9643531290266152-1.0908894894708392j)           (0.6321759962962354-0.7202475519261091j)          
(0.45619500546194075+0.32880675633024814j)         (1.7580404853383962-1.319455867039935j)            (0.45988487171278425-0.8084255417253036j)         
(0.4816666349582605+0.3633218232256537j)           (1.4950416807424514-1.4865501162763934j)           (0.27238812789586136-0.8435812996024707j)         
(0.5061178531536743+0.3951648786024427j)           (1.1958933895099177-1.5678447035797265j)           (0.09038830016023139-0.8174925780255705j)         
(0.5296117553758823+0.4248395125601224j)           (0.9125420436402443-1.5614616941660697j)           (-0.057912275589805384-0.746805325584129j)        
(0.5522236645414976+0.4527151153646623j)           (0.6706668420214886-1.4878255793852637j)           (-0.16370988647937393-0.6505477572307167j)        
(0.5740283069566124+0.47907045117338853j)          (0.485942006886661-1.3798471784515882j)            (-0.2296598134350184-0.5516710545539121j)         
(0.5950950567051555+0.5041211426977759j)           (0.35638578965450285-1.2569990845825034j)          (-0.26220193018151267-0.4612138470028562j)        
(0.6154865237754186+0.5280375563813127j)           (0.2639930446054852-1.131101585636555j)            (-0.27307945244304355-0.3792597483051729j)        
(0.6352585226451315+0.5509567955777241j)           (0.1989479993800571-1.0169476624299512j)           (-0.27328456936410617-0.3101053129913136j)        
(0.6544605784617895+0.5729909674336405j)           (0.15739616716110855-0.9158964435816775j)          (-0.2655428099100565-0.2543858342754994j)         
(0.673136603829363+0.5942330245071606j)            (0.13701393089861347-0.8302167389854052j)          (-0.25323473549088454-0.21354980141468746j)       
(0.6913255884281976+0.6147609854370987j)           (0.11922428904623288-0.7612989323683441j)          (-0.2453884985283325-0.17864290655474985j)        
(0.7090622376821885+0.6346410457155062j)           (0.11098491166334133-0.6975867588281083j)          (-0.23362453406994244-0.15005752736659764j)       
(0.7263775391375833+0.6539299116599351j)           (0.10811903437614932-0.6433043029379613j)          (-0.22268877186035765-0.1272481793574412j)        
(0.7619670008628443-0.6561963962137529j)           (0.1499956207308635+0.5979639352918026j)           (-0.19729685443772368+0.11654420918742721j)       
(0.7455766905837281-0.6370907325819323j)           (0.13351483879732007+0.647589860001804j)           (-0.2135350457750678+0.12413818300032636j)        
(0.7288396186901251-0.6174197840791676j)           (0.16291180044103992+0.692905880433708j)           (-0.21212438553384222+0.15796966774922638j)       
(0.7117351421285887-0.5971322404131275j)           (0.18055800374548087+0.7542946685758594j)          (-0.2202624439294621+0.18837048936175113j)        
(0.6942409631406757-0.5761688250005308j)           (0.2015155358940815+0.8176990001166397j)           (-0.22538928593167532+0.21999320184663673j)       
(0.6763331010082675-0.5544605157443209j)           (0.23788464225677441+0.8891611820151952j)          (-0.22623590546639785+0.2607096314221824j)        
(0.6579859622985199-0.5319262416744528j)           (0.288744631334285+0.9694917573756351j)            (-0.22289106315710247+0.3092558116202248j)        
(0.6391725914048246-0.5084698630235206j)           (0.3589629970138375+1.0550407652324205j)           (-0.2111540631600601+0.3654408132710746j)         
(0.6198652449696829-0.48397615842242064j)          (0.4539348050924314+1.1416301341515183j)           (-0.18685032099599688+0.4286494457483826j)        
(0.6000365457826589-0.4583054181163299j)           (0.5820359564082119+1.224175629350753j)            (-0.14480926516588577+0.49877894285210245j)       
(0.579661679536231-0.43128605672194315j)           (0.7442853586521294+1.2897443661199077j)           (-0.07990293913871166+0.5687690535747643j)        
(0.5587224932939687-0.4027043884943742j)           (0.9388564149254615+1.3221650063287815j)           (0.011871153381914206+0.6292778868599728j)        
(0.5372151278891341-0.37229033513232346j)          (1.1644899692134973+1.3113928571847941j)           (0.1307472172474392+0.6747722948438227j)          
(0.5151643695429626-0.33969740600510495j)          (1.3870371882271584+1.2416813801010989j)           (0.26530268869040213+0.6848273818710142j)         
(0.4926510918616589-0.30447511936525073j)          (1.588853913717248+1.1113116001536583j)            (0.4057354832045004+0.6536522764113464j)          
(0.46986572270291543-0.2660334516017337j)          (1.7520970475489954+0.9405445498744472j)           (0.5345122769568784+0.5859517561691462j)          
(0.44721359549995854-0.22360679774997788j)         (1.8705298728335358+0.7467336018355449j)           (0.6421882812600638+0.4897131396212454j)          
(0.4255185274203495-0.17625554509853503j)          (1.9452088611728673+0.5496629278943967j)           (0.7218183401958262+0.37539477893845835j)         
(0.4063727130192189-0.12303975734127333j)          (1.9876309003401398+0.3590096565275449j)           (0.7749603780842735+0.252534289557909j)           
(0.39250088089609475-0.06369412456584456j)         (2.0083667377378243+0.17681403215770164j)          (0.8049099665998709+0.1266339003166114j)          
(0.38729833462074303+1.1466334093197982e-15j)      (2.01446049251333-3.1235837601282545e-15j)         (0.8145335682594711-2.2506013311221113e-15j)      
(0.3925008808960951+0.06369412456584676j)          (2.0083667377378234-0.17681403215770788j)          (0.8049099665998701-0.12663390031661598j)         
(0.4063727130192195+0.12303975734127534j)          (1.9876309003401385-0.3590096565275504j)           (0.7749603780842733-0.2525342895579134j)          
(0.42551852742035023+0.1762555450985368j)          (1.9452088611728655-0.5496629278944019j)           (0.721818340195825-0.37539477893846257j)          
(0.4472135954999593+0.22360679774997946j)          (1.8705298728335338-0.7467336018355527j)           (0.6421882812600603-0.4897131396212496j)          
(0.4698657227029162+0.26603345160173514j)          (1.7520970475489908-0.940544549874454j)            (0.5345122769568742-0.5859517561691492j)          
(0.49265109186165973+0.304475119365252j)           (1.5888539137172413-1.111311600153665j)            (0.4057354832044951-0.6536522764113485j)          
(0.5151643695429634+0.3396974060051062j)           (1.3870371882271524-1.2416813801011009j)           (0.2653026886903986-0.6848273818710152j)          
(0.537215127889135+0.3722903351323245j)            (1.1644899692134885-1.3113928571847937j)           (0.1307472172474348-0.6747722948438203j)          
(0.5587224932939694+0.4027043884943753j)           (0.9388564149254555-1.3221650063287826j)           (0.011871153381910509-0.6292778868599721j)        
(0.5796616795362318+0.4312860567219441j)           (0.744285358652124-1.289744366119905j)             (-0.07990293913871392-0.5687690535747625j)        
(0.6000365457826596+0.4583054181163308j)           (0.5820359564082067-1.224175629350751j)            (-0.14480926516588816-0.49877894285210034j)       
(0.6198652449696836+0.4839761584224215j)           (0.4539348050924274-1.1416301341515127j)           (-0.18685032099599672-0.42864944574837893j)       
(0.6391725914048252+0.5084698630235215j)           (0.35896299701383305-1.055040765232418j)           (-0.21115406316006188-0.3654408132710719j)        
(0.6579859622985206+0.5319262416744536j)           (0.28874463133428063-0.9694917573756322j)          (-0.22289106315710408-0.30925581162022153j)       
(0.6763331010082682+0.5544605157443216j)           (0.23788464225677328-0.8891611820151925j)          (-0.226235905466398-0.2607096314221808j)          
(0.6942409631406764+0.5761688250005315j)           (0.20151553589407942-0.8176990001166361j)          (-0.22538928593167534-0.2199932018466343j)        
(0.7117351421285892+0.5971322404131284j)           (0.18055800374547937-0.7542946685758575j)          (-0.22026244392946254-0.1883704893617497j)        
(0.7288396186901258+0.6174197840791683j)           (0.1629118004410396-0.6929058804337068j)           (-0.21212438553384225-0.157969667749226j)         
(0.7455766905837287+0.6370907325819329j)           (0.13351483879732146-0.6475898600017995j)          (-0.2135350457750653-0.12413818300032607j)        
(0.7809621958579552-0.640235856040005j)            (0.185911883868135+0.5960674200113147j)            (-0.18286479594089408+0.1203857515661132j)        
(0.765122340527115-0.6208157504233358j)            (0.1976174312860974+0.6341165358531229j)           (-0.18521358218643008+0.14016551930081655j)       
(0.7489841272447935-0.6008138004944992j)           (0.21422176211213173+0.6788041492893899j)          (-0.18787455770101788+0.16346075325654497j)       
(0.7325341151880402-0.58017775716958j)             (0.2369722491728271+0.728959879153927j)            (-0.18950460675979144+0.19052981644663014j)       
(0.7157587320890795-0.5588475306930912j)           (0.26767288944710316+0.7839158922472764j)          (-0.18865606212845287+0.22170391634644446j)       
(0.6986446646232268-0.5367535443818701j)           (0.30926169781242463+0.8439311035633329j)          (-0.18417270656074095+0.25801132811883987j)       
(0.6811794877005813-0.5138146499118388j)           (0.36327257674633856+0.9063776346244216j)          (-0.17396118128192442+0.29849452393240644j)       
(0.6633526684339083-0.48993546791224j)             (0.4349490969548744+0.9708551331643308j)           (-0.15594740571644167+0.34453803072744527j)       
(0.6451571638111434-0.4650029742021414j)           (0.5266198140650823+1.033595485244914j)            (-0.1274472284016097+0.39453861855506783j)        
(0.62659197071778-0.43888210007699113j)            (0.6404135102256675+1.0915129488688706j)           (-0.08682941057255893+0.44700937888228837j)       
(0.6076662244659693-0.41141006350929804j)          (0.7839310897396695+1.1320912113512591j)           (-0.026759765220476232+0.49910903781089694j)      
(0.5884058506208986-0.3823891277807229j)           (0.945954864130818+1.1424246569157603j)            (0.05229641745393368+0.5393117548711261j)         
(0.5688644810057836-0.35157758425414215j)          (1.1192640023477494+1.1165292113904726j)           (0.1471901844073281+0.5619249278629167j)          
(0.549141551612573-0.3186792175644079j)            (1.2926642486411248+1.0503271476854636j)           (0.25266483997214106+0.5611198460082781j)         
(0.5294124703604931-0.2833329556779426j)           (1.455472388329806+0.9465795005903107j)            (0.3613118944615911+0.535290083225201j)           
(0.5099785347794766-0.245108355499809j)            (1.5891873307818212+0.8110030128996032j)           (0.4612867103350552+0.4810993694050184j)          
(0.4913464727026237-0.2035223728176072j)           (1.6933639846999442+0.6554816946425551j)           (0.5474880767655788+0.4056131663322833j)          
(0.47434164902525766-0.15811388300841792j)         (1.7656954038084187+0.49158175136013793j)          (0.6139583693128697+0.3142372509489425j)          
(0.46022103262996394-0.108643448375819j)           (1.8121682167902953+0.3259992980306202j)           (0.6608305350942263+0.21352859729578297j)         
(0.4506413658780588-0.0554764872756143j)           (1.8373806233008647+0.16215823202285526j)          (0.6882446316371611+0.1077877745001527j)          
(0.44721359549995915+9.930136612989065e-16j)       (1.8453103060207843-2.8745820796976374e-15j)       (0.697235203254622-1.9201785895518432e-15j)       
(0.45064136587805903+0.05547648727561624j)         (1.8373806233008636-0.16215823202286103j)          (0.6882446316371602-0.10778777450015639j)         
(0.4602210326299644+0.10864344837582082j)          (1.8121682167902935-0.3259992980306261j)           (0.660830535094225-0.2135285972957867j)           
(0.4743416490252582+0.1581138830084196j)           (1.7656954038084154-0.4915817513601428j)           (0.613958369312868-0.3142372509489452j)           
(0.4913464727026244+0.20352237281760874j)          (1.6933639846999395-0.6554816946425626j)           (0.5474880767655744-0.4056131663322858j)          
(0.5099785347794772+0.24510835549981047j)          (1.5891873307818185-0.8110030128996097j)           (0.4612867103350524-0.4810993694050216j)          
(0.5294124703604939+0.28333295567794387j)          (1.4554723883298009-0.9465795005903139j)           (0.3613118944615882-0.5352900832252024j)          
(0.5491415516125738+0.3186792175644091j)           (1.292664248641118-1.0503271476854668j)            (0.2526648399721366-0.561119846008278j)           
(0.5688644810057842+0.3515775842541433j)           (1.119264002347743-1.1165292113904726j)            (0.14719018440732543-0.5619249278629157j)         
(0.5884058506208992+0.38238912778072404j)          (0.9459548641308126-1.1424246569157606j)           (0.05229641745393087-0.5393117548711255j)         
(0.60766622446597+0.41141006350929904j)            (0.7839310897396645-1.1320912113512556j)           (-0.026759765220477027-0.4991090378108945j)       
(0.6265919707177806+0.4388821000769921j)           (0.6404135102256638-1.0915129488688695j)           (-0.08682941057256074-0.44700937888228726j)       
(0.645157163811144+0.46500297420214237j)           (0.5266198140650776-1.0335954852449116j)           (-0.12744722840161113-0.39453861855506517j)       
(0.6633526684339089+0.48993546791224085j)          (0.43494909695487144-0.9708551331643278j)          (-0.1559474057164423-0.34453803072744316j)        
(0.6811794877005819+0.5138146499118397j)           (0.36327257674633545-0.906377634624419j)           (-0.17396118128192514-0.29849452393240433j)       
(0.6986446646232275+0.5367535443818708j)           (0.3092616978124231-0.8439311035633309j)           (-0.18417270656074147-0.2580113281188388j)        
(0.71575873208908+0.558847530693092j)              (0.2676728894471019-0.7839158922472736j)           (-0.1886560621284525-0.2217039163464433j)         
(0.7325341151880409+0.5801777571695806j)           (0.2369722491728248-0.7289598791539226j)           (-0.1895046067597908-0.19052981644662792j)        
(0.7489841272447941+0.6008138004944998j)           (0.21422176211212984-0.678804149289389j)           (-0.18787455770101896-0.1634607532565435j)        
(0.7651223405271156+0.6208157504233365j)           (0.19761743128609635-0.6341165358531209j)          (-0.18521358218642983-0.14016551930081514j)       
(0.8002425902201208-0.6248105338438263j)           (0.22370728153198874+0.5815771592892853j)          (-0.16266730737659266+0.12343471028499681j)       
(0.7849662843776879-0.6051215312726131j)           (0.23897590084993195+0.6173116729149765j)          (-0.16355242180415344+0.1425382036927484j)        
(0.7694404085481447-0.5848406127371241j)           (0.259238341928106+0.6567710354957156j)            (-0.16337186111633706+0.16427615363670917j)       
(0.7536584960489295-0.5639158879360763j)           (0.28556344522287636+0.6993544128273746j)          (-0.1612671760005234+0.18878820429829749j)        
(0.7376153234281443-0.5422880833616066j)           (0.3123071315515431+0.757373359098312j)            (-0.16519546504177995+0.2161374536774496j)        
(0.721307637226342-0.5198891300277848j)            (0.3650530594831554+0.7930392148034308j)           (-0.14730090025364315+0.24842254193924132j)       
(0.7047352117518773-0.49664043198571955j)          (0.4160543780509861+0.838579292382257j)            (-0.13325040524723103+0.27944569359919835j)       
(0.6879023963685572-0.4724507455064522j)           (0.4889659137414432+0.897571635656109j)            (-0.11604723874818794+0.322136535330354j)         
(0.6708203932499374-0.4472135954999574j)           (0.5779421324053193+0.9421571081126159j)           (-0.08521935839616228+0.3628951224764643j)        
(0.653510634450477-0.4208041698223341j)            (0.6812362188847472+0.9753395698713606j)           (-0.04325974128294343+0.4008469765047973j)        
(0.6360098247570349-0.393075688878711j)            (0.8010418360853694+0.9935317447330926j)           (0.010860753590821842+0.43467674481767843j)       
(0.6183775169948174-0.36385540194516075j)          (0.9339384176554829+0.9893341580714791j)           (0.07755125553421603+0.45953475374380526j)        
(0.6007075230937396-0.33294072791026125j)          (1.0784492109402615+0.9578838583859147j)           (0.15696303258702587+0.4724944090406181j)         
(0.5831450348550233-0.30009687048695655j)          (1.215913094945655+0.9015318219628589j)            (0.23841419410689008+0.46771509009573253j)        
(0.5659118676063147-0.2650589404220614j)           (1.3443900590939761+0.8132267951314938j)           (0.3226960888666299+0.4420689563996067j)          
(0.5493420567339056-0.22754493028111283j)          (1.456632798222832+0.7016981023253523j)            (0.4022870910039523+0.3979035752640572j)          
(0.5339270605015464-0.18729149990274752j)          (1.5459200573997376+0.5730900810252127j)           (0.4710940504311866+0.33648510572114715j)         
(0.5203592964203997-0.1441311811202983j)           (1.6126350323682528+0.43434726389263845j)          (0.5263849080809302+0.2623241074097544j)          
(0.5095381439876346-0.0981280804783341j)           (1.657564957183922+0.29080029422412285j)           (0.5660869918089235+0.17923140893703404j)         
(0.5024693899530803-0.04975427458841629j)          (1.6832186220970304+0.1455661870380227j)           (0.5898567243414207+0.09082484645311757j)         
(0.5000000000000011+8.881784197001233e-16j)        (1.6915310767809693-2.58621591108051e-15j)         (0.5977556753647231-1.6203475442897225e-15j)      
(0.5024693899530804+0.049754274588418045j)         (1.68321862209703-0.14556618703802765j)            (0.5898567243414204-0.09082484645312076j)         
(0.509538143987635+0.09812808047833578j)           (1.6575649571839206-0.29080029422412795j)          (0.5660869918089223-0.1792314089370371j)          
(0.5203592964204001+0.1441311811202999j)           (1.612635032368252-0.43434726389264416j)           (0.5263849080809284-0.26232410740975787j)         
(0.5339270605015469+0.187291499902749j)            (1.545920057399735-0.5730900810252165j)            (0.4710940504311849-0.33648510572114954j)         
(0.5493420567339062+0.22754493028111417j)          (1.4566327982228293-0.7016981023253557j)           (0.40228709100395055-0.3979035752640592j)         
(0.5659118676063153+0.26505894042206274j)          (1.344390059093971-0.8132267951314974j)            (0.322696088866627-0.442068956399608j)            
(0.5831450348550239+0.3000968704869578j)           (1.2159130949456496-0.9015318219628631j)           (0.23841419410688613-0.46771509009573303j)        
(0.6007075230937402+0.3329407279102624j)           (1.0784492109402568-0.9578838583859146j)           (0.15696303258702413-0.4724944090406179j)         
(0.618377516994818+0.3638554019451618j)            (0.9339384176554767-0.9893341580714792j)           (0.07755125553421288-0.4595347537438033j)         
(0.6360098247570356+0.39307568887871197j)          (0.8010418360853655-0.9935317447330924j)           (0.010860753590820268-0.43467674481767765j)       
(0.6535106344504775+0.4208041698223351j)           (0.6812362188847437-0.9753395698713604j)           (-0.04325974128294526-0.4008469765047963j)        
(0.6708203932499379+0.4472135954999583j)           (0.5779421324053164-0.9421571081126145j)           (-0.08521935839616332-0.3628951224764632j)        
(0.6879023963685579+0.47245074550645305j)          (0.4889659137414414-0.8975716356561065j)           (-0.11604723874818797-0.3221365353303531j)        
(0.7047352117518778+0.49664043198572044j)          (0.41605437805098383-0.8385792923822583j)          (-0.1332504052472331-0.2794456935991979j)         
(0.7213076372263424+0.5198891300277857j)           (0.3650530594831539-0.7930392148034302j)           (-0.1473009002536439-0.24842254193924088j)        
(0.7376153234281448+0.5422880833616074j)           (0.31230713155155276-0.7573733590983297j)          (-0.16519546504178748-0.2161374536774601j)        
(0.7536584960489301+0.563915887936077j)            (0.2855634452228734-0.6993544128273727j)           (-0.1612671760005239-0.18878820429829526j)        
(0.7694404085481452+0.5848406127371247j)           (0.2592383419281051-0.6567710354957151j)           (-0.16337186111633775-0.1642761536367087j)        
(0.7849662843776885+0.6051215312726138j)           (0.23897590084993198-0.6173116729149751j)          (-0.1635524218041532-0.14253820369274797j)        
(0.8197654087881046-0.6099305906785846j)           (0.25629100110807+0.5660949893872648j)             (-0.1446700701671536+0.12384670023176038j)        
(0.8050599177261794-0.5900181955916965j)           (0.2744515325499222+0.5978533526201365j)           (-0.14365718831206814+0.14191805142012817j)       
(0.790152927619241-0.5695100078359084j)            (0.298420303083753+0.6303583763815246j)            (-0.14008915998839905+0.16211845927934784j)       
(0.7750444564236295-0.5483556413797511j)           (0.3238835870256549+0.6678742274477488j)           (-0.13708918883783136+0.1829880688637533j)        
(0.75973691977281-0.5264980410845572j)             (0.3649934537510932+0.7091958737958906j)           (-0.12990118069468484+0.21104528531336522j)       
(0.7442360919325859-0.503872365321901j)            (0.40778711061907963+0.7506391644823694j)          (-0.12077453256509758+0.23817792505581192j)       
(0.7285524382590426-0.48040467867537984j)          (0.4637435988575324+0.7879673164725602j)           (-0.10396168548484724+0.2672560368989405j)        
(0.7127029721994356-0.4560104456938551j)           (0.5302171067398423+0.8230479280973656j)           (-0.0815269350785931+0.29744529977502304j)        
(0.6967138556286714-0.43059284321150526j)          (0.6093290941864659+0.8511689005702814j)           (-0.050944078157044013+0.3272425858651671j)       
(0.6806240534638358-0.40404096593481853j)          (0.7011719514037438+0.8702187473835941j)           (-0.012022120106645906+0.3552495990262294j)       
(0.6644904775406986-0.376228115300099j)            (0.8029889927855641+0.8767973467367016j)           (0.035058305316306965+0.37838032270589067j)       
(0.6483952079247656-0.3470105843627809j)           (0.9173231883310071+0.8674840187921343j)           (0.09170901281030272+0.3961424237589335j)         
(0.6324555320336764-0.3162277660168372j)           (1.0325816097004954+0.8344482371202935j)           (0.15522157890769717+0.4006421505143089j)         
(0.6168375891856162-0.28370514875892144j)          (1.1458051637118252+0.7795304628640508j)           (0.222416050899023+0.39174886189922j)             
(0.6017740725188856-0.24926298232181182j)          (1.2526436649025179+0.7038409668517561j)           (0.2901307473811956+0.3689959864538892j)          
(0.5875850933249304-0.21273514495180626j)          (1.3452807692365234+0.6093276877870204j)           (0.3532766821230262+0.33108834141538346j)         
(0.5746978021301284-0.17400449354312428j)          (1.4221633206755266+0.500344528703101j)            (0.40908121347940823+0.2803227800724063j)         
(0.5636533494200892-0.13306050620858167j)          (1.4809041747537761+0.3817197562394066j)           (0.4541599212359217+0.2190358601416885j)          
(0.5550800690066434-0.0900770948044996j)           (1.5220660047908885+0.2570128048760093j)           (0.48726362175109283+0.15008642349703505j)        
(0.549608099701466-0.0454869570036886j)            (1.546185895912387+0.12915404145981219j)           (0.5073241333326075+0.07622131968626139j)         
(0.5477225575051672+8.107922592650808e-16j)        (1.5541182425299431-2.297740610846902e-15j)        (0.5140381124363083-1.3608343505466917e-15j)      
(0.5496080997014662+0.045486957003690195j)         (1.5461858959123864-0.12915404145981685j)          (0.5073241333326067-0.07622131968626406j)         
(0.5550800690066436+0.09007709480450117j)          (1.5220660047908885-0.2570128048760139j)           (0.4872636217510923-0.1500864234970379j)          
(0.5636533494200895+0.13306050620858317j)          (1.4809041747537748-0.3817197562394113j)           (0.4541599212359201-0.21903586014169102j)         
(0.5746978021301289+0.1740044935431257j)           (1.4221633206755244-0.5003445287031049j)           (0.40908121347940674-0.2803227800724082j)         
(0.5875850933249309+0.21273514495180756j)          (1.3452807692365203-0.6093276877870238j)           (0.35327668212302404-0.3310883414153848j)         
(0.6017740725188861+0.24926298232181307j)          (1.252643664902514-0.7038409668517596j)            (0.29013074738119293-0.3689959864538901j)         
(0.6168375891856167+0.28370514875892267j)          (1.1458051637118225-0.7795304628640536j)           (0.22241605089902147-0.39174886189922126j)        
(0.632455532033677+0.31622776601683833j)           (1.0325816097004923-0.8344482371202953j)           (0.15522157890769525-0.4006421505143096j)         
(0.6483952079247661+0.34701058436278204j)          (0.9173231883310025-0.8674840187921339j)           (0.091709012810301-0.3961424237589328j)           
(0.6644904775406992+0.3762281153001j)              (0.8029889927855606-0.876797346736701j)            (0.03505830531630555-0.37838032270588956j)        
