Results from the 0th iteration     date:17/05/22
------------------------------------------------------------------------
Parameters of the run are : 
m=0.004 mu=19 lambda=0.72 lambdaQCD=0.234 gamma=0.48 eta=1.8

Parameters for the integartions are : 
nCheby=30 nLeg=500 pMin=0.001 pMax=1000.0
 
Degree of convergence : None
 
Current value for Z2 : 1

Datas for sigma_v(p) and sigma_s(p) :
p                                                  sigma_v(p)                                         sigma_s(p)                                        
(0.3982849187408903-1.0043061667123414j)           (-0.18553080925570437-0.03998202726016255j)        (-0.017980023998090587-0.12482603224417155j)      
(0.37654907042473446-0.9958861392939112j)          (-0.19258268454701705-0.06720870305971198j)        (0.00617028695270837-0.13737253981161815j)        
(0.35435559631340796-0.9877084026364416j)          (-0.20422760022471748-0.09374877240124768j)        (0.02626673229572797-0.15530290043270825j)        
(0.3316976996842416-0.9798078199197112j)           (-0.20797636179909101-0.1219511520125575j)         (0.05727933297975782-0.16938481224301025j)        
(0.30857138747317486-0.9722223517113356j)          (-0.20748555609500785-0.14822853549606763j)        (0.09331727545193774-0.1827060516941515j)         
(0.28497617143002424-0.9649929628152293j)          (-0.200342767620176-0.1713246705201859j)           (0.13776092446285085-0.19511110240006085j)        
(0.2609158352474997-0.9581633853800198j)           (-0.18702913257373294-0.18784845220410273j)        (0.1836875138851097-0.2089707180488615j)          
(0.23639924183842786-0.9517797022114852j)          (-0.16044587404336766-0.201690528611894j)          (0.23379104295348332-0.2362806906901356j)         
(0.21144114003996073-0.9458897164582128j)          (-0.12538746445756382-0.20140969269376227j)        (0.27688802102509996-0.2418121651342364j)         
(0.18606291347621048-0.9405420818715426j)          (-0.08186479362628704-0.1967418127232297j)         (0.3139677340351364-0.24233340187206534j)         
(0.16029319833666855-0.9357851833797105j)          (-0.03517285997347959-0.18827409026549785j)        (0.34477780967109356-0.23299157277140004j)        
(0.13416828487661928-0.9316657816334856j)          (0.03072507529782054-0.17196078251975247j)         (0.3846547979488253-0.21815815851189155j)         
(0.10773221391173782-0.9282274666881628j)          (0.06983247889391474-0.15066458093804083j)         (0.4054266960816541-0.18556826752065267j)         
(0.08103648894665695-0.9255090018691344j)          (0.1083427147622313-0.1212262526063796j)           (0.4264775022842594-0.14643207489954818j)         
(0.054139349973860953-0.9235426731968546j)         (0.13228293013144515-0.08503865565620217j)         (0.43961723294343713-0.10062174255388666j)        
(0.02710459643971857-0.9223527845397117j)          (0.16057546739711595-0.03789101708089169j)         (0.45528676943147206-0.048518765262538156j)       
(4.816823780254969e-16+0.9219544457292886j)        (0.1665652876273611+2.089233708311911e-15j)        (0.4583340569720838+6.773663337872575e-15j)       
(0.027104596439719533+0.9223527845397117j)         (0.16057546739711556+0.03789101708089386j)         (0.4552867694314759+0.04851876526254499j)         
(0.054139349973861904+0.9235426731968547j)         (0.13228293013144266+0.08503865565621394j)         (0.4396172329434325+0.10062174255389697j)         
(0.08103648894665791+0.9255090018691345j)          (0.1083427147622197+0.12122625260638722j)          (0.42647750228425396+0.1464320748995588j)         
(0.10773221391173876+0.9282274666881629j)          (0.06983247889389896+0.15066458093804017j)         (0.4054266960816428+0.1855682675206507j)          
(0.13416828487662022+0.9316657816334857j)          (0.03072507529782211+0.17196078251976202j)         (0.3846547979488252+0.21815815851189538j)         
(0.16029319833666947+0.9357851833797107j)          (-0.035172859973496735+0.18827409026550704j)       (0.34477780967108534+0.23299157277139376j)        
(0.1860629134762114+0.9405420818715428j)           (-0.08186479362627665+0.1967418127232282j)         (0.3139677340351469+0.24233340187206345j)         
(0.21144114003996164+0.945889716458213j)           (-0.12538746445754723+0.20140969269374898j)        (0.2768880210251021+0.24181216513422757j)         
(0.23639924183842875+0.9517797022114854j)          (-0.16044587404336716+0.20169052861188716j)        (0.2337910429534825+0.23628069069012472j)         
(0.26091583524750056+0.95816338538002j)            (-0.18702913257374043+0.18784845220410432j)        (0.18368751388509874+0.2089707180488638j)         
(0.2849761714300251+0.9649929628152295j)           (-0.20034276762017897+0.17132467052019038j)        (0.13776092446285387+0.19511110240006738j)        
(0.30857138747317564+0.972222351711336j)           (-0.20748555609502634+0.14822853549606446j)        (0.09331727545192184+0.1827060516941515j)         
(0.33169769968424245+0.9798078199197114j)          (-0.2079763617990924+0.12195115201254313j)         (0.05727933297975091+0.1693848122429924j)         
(0.35435559631340874+0.9877084026364418j)          (-0.2042276002247096+0.09374877240125196j)         (0.02626673229574487+0.15530290043271022j)        
(0.3765490704247353+0.9958861392939115j)           (-0.19258268454702365+0.06720870305971675j)        (0.006170286952707715+0.1373725398116316j)        
(0.398284918740891+1.0043061667123419j)            (-0.1855308092557066+0.03998202726015659j)         (-0.0179800239980941+0.1248260322441612j)         
(0.41957212015166834+1.01293670286379j)            (-0.17464037586621065+0.01618748022894723j)        (-0.035060089621637175+0.11118060567257806j)      
(0.44042129848248474+1.0217489516299971j)          (-0.16262943399614677-0.005204959918459923j)       (-0.0491291587950697+0.09772466920928095j)        
(0.46084426783795285+1.0307169539689829j)          (-0.14904859875555318-0.022923559620540095j)       (-0.059030388202271876+0.08481960563857568j)      
(0.49021671099961994-1.019957069558952j)           (-0.1479415701369695+0.05357303578680151j)         (-0.0790850732577628-0.07796216166548854j)        
(0.47009266896933316-1.0104390716014058j)          (-0.16582517512149794+0.03876724152888667j)        (-0.07347791896025078-0.09289404010841898j)       
(0.449532789615635-1.001039324372232j)             (-0.18253616726565677+0.01975809408620486j)        (-0.06387716806839114-0.10906700935909554j)       
(0.4285217339837474-0.9917816677557806j)           (-0.1983384512191508-0.002572956819693337j)        (-0.051279545186888174-0.126224052406597j)        
(0.40704474563521637-0.982692945405246j)           (-0.2112408131566503-0.026731484067837454j)        (-0.03522970625154924-0.14168428244099504j)       
(0.38508804835586974-0.9738032681124728j)          (-0.22301514403478923-0.05641761690503244j)        (-0.0135971037189014-0.16122733138576714j)        
(0.36263933961545375-0.9651462534956722j)          (-0.2313485368456541-0.0848964903837514j)          (0.009536532425687645-0.1774831511394998j)        
(0.3396883913268269-0.9567592190317308j)           (-0.2393783797027743-0.12170893927488752j)         (0.04017463523290729-0.2058963691916189j)         
(0.3162277660168378-0.9486832980505137j)           (-0.23601989157650438-0.15378463292030833j)        (0.077802272849497-0.22375783501269528j)          
(0.292253650060508-0.9409634402960031j)            (-0.2253515652814382-0.18358552664593294j)         (0.12039940225689727-0.24086338225424633j)        
(0.2677667951834769-0.933648251004001j)            (-0.20506805632153458-0.20936343192302817j)        (0.1686716989715517-0.2567558371252335j)          
(0.24277354420765326-0.926789616777802j)           (-0.17305728358353087-0.2306444984877511j)         (0.22073092404166117-0.27360606719084507j)        
(0.21728689675163992-0.9204420652599259j)          (-0.12779906314565576-0.24670299694680864j)        (0.27267452356776906-0.2883845435716092j)         
